1350;ES;A;GALLIVARE;N67072990;E020505770;;;E0065;WGE;ESAA;ESAA;;;;03100;H L  
1351;LA;A;TIRANA;N41261500;E019431500;;;E0020;;LAAA;LAAA;;;;05980;H   N
1352;LH;A;LMM RW13R LHBP;N47271817;E019123780;;;E0025;WGE;LHCC;LHCC;;;;03430;H   N
1353;BG;AA;AASIAAT;N68432346;W052470515;;;W0397;WGE;BGGL;BGGL;;;;03360;H M  
1354;EK;AB;AKRABERG-FAROE ISLANDS;N61234292;W006405247;;;W0086;WGE;BIRD;BIRD;;;;03810;H    
1355;ES;AB;HAGFORS;N59570150;E013350900;;;E0018;WGE;ESAA;ESAA;;;;03930;H L  
1356;LF;AB;ALBI;N43544520;E002035220;;;W0018;WGE;LFBB;LFFF;;;;03230;H L N
1357;LO;AB;ABSAM;N47171874;E011300603;;;E0005;WGE;LOVV;LOVV;;;;03130;H L N
1358;LI;ABN;ALBENGA;N44032140;E008131550;;;W0003;WGE;LIMM;LIMM;;;;04200;H    
1359;LE;ABT;ALBACETE;N38563870;W001595160;;;W0021;WGE;LECM;LECM;;;;03210;H    
1360;ED;ABU;ALTENBURG-NOBITZ;N50593758;E012311572;;;E0020;WGE;EDBB;EDBB;;;;03300;H M  
1361;ES;AC;HULTSFRED;N57315442;E015480206;;;E0016;WGE;ESAA;ESAA;;;;03350;H   N
1362;LE;ACD;ALCOBENDAS;N40350841;W003403544;;;W0028;WGE;LECM;LECM;;;;04170;H M  
1363;EN;AD;ANDA;N61494644;E006065738;;;W0026;WGE;ENOR;ENOR;;;;02880;H M N
1364;EN;ADV;ADVENT;N78103651;E016004503;;;E0023;WGE;ENOB;ENOB;;;;03260;H   N
1365;LE;ADX;ANDRAITX;N39325799;E002234508;;;W0010;WGE;LECB;LECB;;;;03840;H M  
1366;LF;AG;AGEN;N44090250;E000402540;;;W0020;WGE;LFBB;LFFF;;;;04000;H L  
1367;ED;AGB;AUGSBURG;N48252747;E010555914;;;E0010;WGE;EDMM;EDUU;;;;03180;H M N
1368;LF;AGO;ANGOULEME;N45423860;E000253680;;;W0026;WGE;LFMM;LFFF;;;;04040;H L N
1369;ES;AH;ANGELHOLM;N56155800;E012540260;;;E0006;WGE;ESAA;ESAA;;;;04170;H L N
1370;LI;AH;ALGHERO;N40415460;E008195100;;;W0002;WGE;LIRR;LIRR;;;;03370;H L  
1371;LE;AI;ALICANTE;N38174625;W000393604;;;W0020;WGE;LECB;LECB;;;;03300;H L N
1372;EF;AKU;AKUJAERVI LOM RW22;N68404220;E027365266;;;E0089;WGE;EFPS;EFPS;;;;04320;HOM N
1373;EN;AL;ALESUND;N62354584;E006131746;;;W0028;WGE;ENOR;ENOR;;;;03980;H L A
1374;LE;AL;SALAMANCA;N41015110;W005264896;;;W0040;WGE;LECM;LECM;;;;03590;HOM A
1375;LE;ALB;ALBORAN;N35561800;W003020600;;;W0026;WGE;LECM;LECM;;;;05190;H   N
1376;LE;ALC;ALICANTE;N38171526;W000330530;;;W0017;WGE;LECB;LECB;;;;04290;H    
1377;EG;ALD;ALDERNEY;N49423196;W002115892;;;W0039;WGE;LFRR;LFFF;;;;03830;H M  
1378;LI;ALG;ALGHERO;N40382350;E008172970;;;E0003;WGE;LIRR;LIRR;;;;03820;H    
1379;LF;ALM;AIX LES MILLES;N43302800;E005213770;;;W0009;WGE;LFMM;LFFF;;;;04300;H M N
1380;LG;ALP;ALEXANDROUPOLIS;N40512700;E025563900;;;E0029;;LGGG;LGGG;;;;03510;H M N
