BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
AKI2A;BI;BIAR;RW01;AKI;RW01;{{N65413100,W018044200},{N65510600,W018113000},{N65453500,W018001500}}
AKI2B;BI;BIAR;RW01;AKI;RW01;{{N65413100,W018044200},{N65510600,W018113000},{N65544100,W018141100},{N65544100,W018141100},{N65453500,W018001500}}
BOTN3A;BI;BIAR;RW19;NB;RW19;{{N65380800,W018040400},{N65360879,W018034086},{N65331478,W018060756},{N65300200,W018090300},{N65244557,W018132644},{N65193400,W018173700}}
ALDA1A;BI;BIKF;RW02;ALDAN;TMA07;{{N63394700,W021180300},{N63235900,W020171800},{N63394700,W021180300},{N63235900,W020171800},{N62584900,W018455000},{N62584900,W018455000}}
ALDA1B;BI;BIKF;RW29;ALDAN;TMA07;{{N63394700,W021180300},{N63394700,W021180300},{N63235900,W020171800},{N63235900,W020171800},{N62584900,W018455000},{N62584900,W018455000}}
BREK1A;BI;BIKF;RW11;BREKI;TMA08;{{N63303857,W021340413},{N63303857,W021340413},{N62321800,W019324800},{N62321800,W019324800}}
BREK1B;BI;BIKF;RW29;BREKI;TMA08;{{N63303857,W021340413},{N63303857,W021340413},{N62321800,W019324800},{N62321800,W019324800}}
CELO1A;BI;BIKF;RW11;CELLO;TMA09;{{N63243500,W021522100},{N63243500,W021522100},{N62141800,W020280600},{N62141800,W020280600}}
CELO1B;BI;BIKF;RW20;CELLO;TMA09;{{N63243500,W021522100},{N63243500,W021522100},{N62141800,W020280600},{N62141800,W020280600}}
DROM1A;BI;BIKF;RW20;DROMI;TMA05;{{N63401000,W023561100},{N62594200,W026302400},{N63401000,W023561100},{N62594200,W026302400}}
DROM1B;BI;BIKF;RW02;DROMI;TMA05;{{N63401000,W023561100},{N63401000,W023561100},{N62594200,W026302400},{N62594200,W026302400}}
EI201B;BI;BIKF;RW11;EIN20;EIN20;{{N64131500,W023091400},{N64131500,W023091400},{N64131500,W023091400},{N64015416,W024245049},{N64090615,W023374847},{N64120418,W023172669},{N64221900,W023512300},{N64130500,W024022100},{N64382400,W026584200},{N64131500,W023091400},{N65064800,W026274200},{N64031800,W027104200},{N64131500,W023091400}}
EI401B;BI;BIKF;RW02;HEKLA;EIN40;{{N64271000,W023421000},{N64271000,W023421000},{N64184786,W024380096},{N64242261,W024015353},{N64271000,W023421000},{N64271000,W023421000},{N64382400,W026584200},{N65064800,W026274200}}
EL1A;BI;BIKF;RW02;EL;EL;{{N64045200,W021461500},{N64045200,W021461500}}
EL1B;BI;BIKF;RW20;EL;EL;{{N64045200,W021461500},{N64045200,W021461500}}
EMBL1A;BI;BIKF;RW20;EMBLA;TMA04;{{N63494900,W024045100},{N63494900,W024045100},{N63281200,W026585400},{N63281200,W026585400}}
