AKI1A;BI;BIHU;RW03;GA;AKI;{{N65453500,W018001500},{N65423013,W017371292},{N65440580,W017320368},{N65480018,W017300765},{N65524000,W017274800}}
HOLA1A;BI;BIHU;RW03;GA;HOLAR;{{N65432400,W017013800},{N65442653,W017282270},{N65480018,W017300765},{N65524000,W017274800}}
RETU1A;BI;BIHU;RW03;GA;RETUR;{{N65321900,W017372900},{N65361606,W017354310},{N65401102,W017335466},{N65440580,W017320368},{N65480018,W017300765},{N65524000,W017274800}}
TJOR1A;BI;BIHU;RW03;GA;TJORN;{{N65392500,W017143800},{N65413399,W017301937},{N65440580,W017320368},{N65480018,W017300765},{N65524000,W017274800}}
SELV1E;BI;BIVM;ALL;VM;RK;{{N64090528,W022014384},{N63585616,W021525086},{N63541100,W021484500},{N63511500,W021393700},{N63362800,W020542100},{N63235900,W020171800}}
BLC17A;LY;BKPR;RW17;PRS13;BLC;{{N43145530,E021214190},{N42565327,E021130632},{N42511532,E021101722},{N42502094,E021031901},{N42475868,E021004551}}
BLC17B;LY;BKPR;RW17;PRT11;BLC;{{N43145530,E021214190},{N42565327,E021130632},{N42511532,E021101722},{N42500864,E021053457},{N42452025,E021024117}}
BLC35A;LY;BKPR;RW35;D15;BLC;{{N43145530,E021214190},{N42565327,E021130632},{N42342100,E021015300},{N42222333,E021135874},{N42181798,E021091554},{N42194227,E021060027}}
BLC35B;LY;BKPR;RW35;10PRT;BLC;{{N43145530,E021214190},{N42565327,E021130632},{N42342100,E021015300},{N42222333,E021135874},{N42181798,E021091554},{N42194227,E021060027},{N42243369,E021044026}}
EAS17A;LY;BKPR;XAXAN;PRS13;XAXAN;{{N42081200,E021193600},{N43145530,E021214190},{N42335079,E021151883},{N42565327,E021130632},{N42511532,E021101722},{N42361374,E021024880},{N42341669,E021043018},{N42342100,E021015300},{N42234101,E021090915},{N42335079,E021151883},{N42473240,E021081819},{N42335079,E021151883},{N42502094,E021031901},{N42475868,E021004551}}
EAS17B;LY;BKPR;RW17;R090J;R090J;{{N42335079,E021151883},{N43145530,E021214190},{N42081200,E021193600},{N42565327,E021130632},{N42511532,E021101722},{N42361374,E021024880},{N42341669,E021043018},{N42342100,E021015300},{N42234101,E021090915},{N42335079,E021151883},{N42412052,E021022362},{N42335079,E021151883}}
EAS35A;LY;BKPR;RW35;D15;R090L;{{N42334416,E021180096},{N42081200,E021193600},{N43145530,E021214190},{N42511532,E021101722},{N42234101,E021090915},{N42342100,E021015300},{N42274877,E021115980},{N42262336,E021095567},{N42335079,E021151883},{N42222333,E021135874},{N42335079,E021151883},{N42335079,E021151883},{N42181798,E021091554},{N42335079,E021151883},{N42334416,E021180096},{N42334416,E021180096},{N42194227,E021060027}}
EAS35B;LY;BKPR;BLCE;10PRT;BLC;{{N43145530,E021214190},{N42334416,E021180096},{N42081200,E021193600},{N42511532,E021101722},{N42234101,E021090915},{N42342100,E021015300},{N42274877,E021115980},{N42262336,E021095567},{N42335079,E021151883},{N42222333,E021135874},{N42335079,E021151883},{N42335079,E021151883},{N42181798,E021091554},{N42334416,E021180096},{N42335079,E021151883},{N42334416,E021180096},{N42194227,E021060027},{N42243369,E021044026}}
XAX17A;LY;BKPR;RW17;PRS13;XAXAN;{{N42081200,E021193600},{N42342100,E021015300},{N42473240,E021081819},{N42502094,E021031901},{N42475868,E021004551}}
XAX17B;LY;BKPR;RW17;PRT70;XAXAN;{{N42081200,E021193600},{N42342100,E021015300},{N42412052,E021022362}}
XAX35A;LY;BKPR;RW35;D15;XAXAN;{{N42081200,E021193600},{N42151243,E021145663},{N42172629,E021132534},{N42181798,E021091554},{N42194227,E021060027}}
XAX35B;LY;BKPR;RW35;10PRT;XAXAN;{{N42081200,E021193600},{N42151243,E021145663},{N42172629,E021132534},{N42181798,E021091554},{N42194227,E021060027},{N42243369,E021044026}}
ARVO2A;EB;EBBR;ALL;KERKY;ARVOL;{{N50324500,E003294900},{N50445000,E003430700},{N50523600,E003514640},{N50553701,E003593341}}
ARVO2B;EB;EBBR;ALL;FLO;ARVOL;{{N50324500,E003294900},{N50342628,E003495836},{N50445814,E004382990},{N50523599,E005080432}}
BATY1A;EB;EBBR;ALL;FLO;BATTY;{{N50385704,E005505561},{N50452696,E005303809},{N50523599,E005080432}}
BEKE3A;EB;EBBR;ALL;ANT;BEKEM;{{N51255600,E004344800},{N51161988,E004202393},{N51112574,E004282130}}
KOK3A;EB;EBBR;ALL;KERKY;KOK;{{N51054086,E002390585},{N50592728,E003293635},{N50553701,E003593341}}
LNO1A;EB;EBBR;ALL;FLO;LNO;{{N50350929,E005423699},{N50423749,E005275143},{N50523599,E005080432}}
TULN2A;EB;EBBR;ALL;KERKY;TULNI;{{N50332700,E003165600},{N50445000,E003430700},{N50523600,E003514640},{N50553701,E003593341}}
TULN2B;EB;EBBR;ALL;FLO;TULNI;{{N50332700,E003165600},{N50342628,E003495836},{N50445814,E004382990},{N50523599,E005080432}}
WODY3A;EB;EBBR;ALL;ANT;WOODY;{{N51242000,E004215900},{N51173232,E004163801},{N51112574,E004282130}}
CIV1D;EB;EBLG;ALL;LGE;CIV;{{N50342628,E003495836},{N50271382,E004262895},{N50250400,E005060700},{N50391437,E005281351}}
DIK1D;EB;EBLG;ALL;LGE;DIK;{{N49514096,E006074671},{N50151400,E005322900},{N50250400,E005060700},{N50391437,E005281351}}
DOM4G;ED;EDDL;RW23B;BOT;DOM;{{N51423431,E007351367},{N51350889,E007012284}}
KOK1D;EB;EBLG;ALL;LGE;KOK;{{N51054086,E002390585},{N50271382,E004262895},{N50250400,E005060700},{N50391437,E005281351}}
LNO1D;EB;EBLG;ALL;LGE;LNO;{{N50350929,E005423699},{N50151400,E005322900},{N50250400,E005060700},{N50391437,E005281351}}
NIK1D;EB;EBLG;ALL;LGE;NIK;{{N51095429,E004110218},{N50271382,E004262895},{N50250400,E005060700},{N50391437,E005281351}}
NTM1D;EB;EBLG;ALL;LGE;NTM;{{N50005710,E006315444},{N50151400,E005322900},{N50250400,E005060700},{N50391437,E005281351}}
COA1A;EB;EBOS;ALL;ONO;COA;{{N51205283,E003211918},{N51130298,E002594710}}
