2727;EG;009W;N45 50 W009 00;N45500000;W009000000;ENRT;;W0054;WGE;EGGX;EGGX;;;;IF;
2728;BI;010W;N87 57 W010 00;N87573000;W010000000;ENRT;;W0268;WGE;BIRD;BIRD;;;;R;
2729;EG;07SFD;SFD-144/D07.3;N50400000;E000143300;ENRT;;W0024;WGE;EGTT;EGTT;;;;U;L
2730;LF;101D;DJL-324/CLM D101;N47362925;E004424624;ENRT;;W0006;WGE;LFFF;LFFF;;;;I E;
2731;LM;10MLA;MLA-135/D10.0;N35425634;E014383526;ENRT;;E0017;WGE;LMMM;LMMM;;;;I;
2732;LY;10PRT;PRT-165/D10.0;N42243369;E021044026;ENRT;;E0030;WGE;LYBA;LYBA;;;;I Z;
2733;EG;12HON;HON-142/12;N52121968;W001270303;ENRT;;W0035;WGE;EGTT;EGTT;;;;I E;
2734;EG;12OCK;OCK-304/D12.0;N51240375;W000433702;ENRT;;W0035;WGE;EGTT;EGTT;;;;I E;
2735;LF;14RBT;RBT-006/D14.0;N48531012;E002003729;ENRT;;W0025;WGE;LFFF;LFFF;;;;I;
2736;LI;15OST;OST-190/D15.0;N41332985;E012103090;ENRT;;E0008;WGE;LIRR;LIRR;;;;I D;
2737;LF;17OL;OL-067/D17.0;N48511229;E002461960;ENRT;;W0025;WGE;LFFF;LFFF;;;;I;
2738;LP;2035N;N20 00 W035 00;N20000000;W035000000;ENRT;;W0158;WGE;LPPO;LPPO;;;;RF;
2739;EG;20NEW;NEW-194/D20.0;N54424100;W001481100;ENRT;;W0040;WGE;EGTT;EGTT;;;;U;L
2740;LF;20PAS;PAS-144/D20.0;N45534600;E006171100;ENRT;;E0001;WGE;LFMM;LFFF;;;;I;L
2741;LP;2230N;N22 00 W030 00;N22000000;W030000000;ENRT;;W0140;WGE;LPPO;LPPO;;;;RF;
2742;LP;2330N;N23 00 W030 00;N23000000;W030000000;ENRT;;W0134;WGE;LPPO;LPPO;;;;RF;
2743;LP;2430N;N24 00 W030 00;N24000000;W030000000;ENRT;;W0137;WGE;LPPO;LPPO;;;;RF;
2744;LP;2435N;N24 00 W035 00;N24000000;W035000000;ENRT;;W0153;WGE;LPPO;LPPO;;;;RF;
2745;LP;2527N;N25 00 W027 00;N25000000;W027000000;ENRT;;W0115;WGE;LPPO;LPPO;;;;I;
2746;LP;2528N;N25 00 W028 00;N25000000;W028000000;ENRT;;W0119;WGE;LPPO;LPPO;;;;I;
2747;LP;2530N;N25 00 W030 00;N25000000;W030000000;ENRT;;W0135;WGE;LPPO;LPPO;;;;RF;
2748;LP;2533N;N25 00 W033 00;N25000000;W033000000;ENRT;;W0137;WGE;LPPO;LPPO;;;;IF;
2749;LP;2535N;N25 00 W035 00;N25000000;W035000000;ENRT;;W0151;WGE;LPPO;LPPO;;;;RF;
2750;LF;25BSN;SOLBA-029/BSN D25.0;N49220673;E003375763;ENRT;;W0019;WGE;LFFF;LFFF;;;;I;
2751;EG;25HON;DTY-315/HON D25.0;N52413177;W002040217;ENRT;;W0044;WGE;EGTT;EGTT;;;;I E;
2752;LI;25OST;OST-108/D25.0;N41400430;E012455040;ENRT;;E0008;WGE;LIRR;LIRR;;;;I D;
2753;LP;25VFL;VFL-118/D25.0;N38241865;W028064735;ENRT;;W0120;WGE;LPPO;LPPO;;;;I E;B
2754;LP;2635N;N26 00 W035 00;N26000000;W035000000;ENRT;;W0142;WGE;LPPO;LPPO;;;;UF;
2755;LP;2730N;N27 00 W030 00;N27000000;W030000000;ENRT;;W0134;WGE;LPPO;LPPO;;;;RF;
2756;LP;2735N;N27 00 W035 00;N27000000;W035000000;ENRT;;W0141;WGE;LPPO;LPPO;;;;UF;
2757;LF;27MOU;OMANI-133/MOU D27.0;N46193356;E003584662;ENRT;;W0006;WGE;LFMM;LFFF;;;;I E;
2758;LP;2830N;N28 00 W030 00;N28000000;W030000000;ENRT;;W0129;WGE;LPPO;LPPO;;;;RF;
2759;LP;2835N;N28 00 W035 00;N28000000;W035000000;ENRT;;W0140;WGE;LPPO;LPPO;;;;UF;
2760;LP;2840N;N28 00 W040 00;N28000000;W040000000;ENRT;;W0164;WGE;LPPO;LPPO;;;;RF;
2761;LP;2930N;N29 00 W030 00;N29000000;W030000000;ENRT;;W0133;WGE;LPPO;LPPO;;;;RF;
2762;LP;2935N;N29 00 W035 00;N29000000;W035000000;ENRT;;W0140;WGE;LPPO;LPPO;;;;UF;
2763;LF;29BRY;MOU-354/BRY-D29;N47554214;E003233070;ENRT;;W0012;WGE;LFFF;LFFF;;;;I;
2764;LP;2A25N;N25 40 W025 00;N25400000;W025000000;ENRT;;W0117;WGE;LPPO;LPPO;;;;RF;
2765;LP;2B35N;N26 16 W035 00;N26160000;W035000000;ENRT;;W0149;WGE;LPPO;LPPO;;;;RF;
2766;LF;2NM;DEROL-R171/D2;N48384161;E002073001;ENRT;;W0017;WGE;LFFF;LFFF;;;;I D;
2767;LP;3020N;N30 00 W020 00;N30000000;W020000000;ENRT;;W0093;WGE;LPPO;LPPO;;;;RF;
2768;LP;3021N;N30 00 W021 00;N30000000;W021000000;ENRT;;W0085;WGE;LPPO;LPPO;;;;IF;
